iter	RMSE
0	2.351527261
1	2.054831551
2	1.801127449
3	1.58622302
4	1.405078133
5	1.253345776
6	1.127080316
7	1.022443128
8	0.9356036341
9	0.8642040099
10	0.8065634647
11	0.7600387966
12	0.7216968245
13	0.6905850215
14	0.667047946
15	0.6474030654
16	0.6316644907
17	0.619239572
18	0.6017084301
19	0.5940116707
20	0.5872944573
21	0.581791917
22	0.5756642947
23	0.5724299013
24	0.5637777564
25	0.5569749948
26	0.5537500644
27	0.5503813736
28	0.5473163592
29	0.545101132
30	0.5404951013
31	0.5354094359
32	0.5334244083
33	0.5314104419
34	0.5300957984
35	0.5288437031
36	0.5246446565
37	0.5215495471
38	0.516234188
39	0.5149923551
40	0.5142159025
41	0.5120227839
42	0.5111833754
43	0.5094350503
44	0.5087237769
45	0.5077804984
46	0.5057969969
47	0.5019192608
48	0.5009768005
49	0.5002578988
50	0.4988217096
51	0.4979853791
52	0.4958003174
53	0.4952836649
54	0.4946998347
55	0.4909744139
56	0.4902251649
57	0.4892425069
58	0.4876098475
59	0.4866862063
60	0.4859259472
61	0.4853994462
62	0.4848153636
63	0.4843601134
64	0.4814940399
65	0.4802538498
66	0.4797761826
67	0.479451742
68	0.4788556326
69	0.476396205
70	0.4758429214
71	0.4753758873
72	0.4746978409
73	0.4735129461
74	0.4726961075
75	0.4719645557
76	0.4708897415
77	0.4705540533
78	0.4701279766
79	0.4696928129
80	0.4693539879
81	0.4687230183
82	0.4683486056
83	0.4678645913
84	0.4671274837
85	0.4666799634
86	0.465793394
87	0.465286137
88	0.4647364
89	0.4638658093
90	0.4621313587
91	0.4617548851
92	0.4613985619
93	0.4611632899
94	0.4605782721
95	0.460251671
96	0.4600218877
97	0.4596282835
98	0.4593094956
99	0.4590537849
100	0.4589007539
101	0.4586587037
102	0.4580769257
103	0.4574297198
104	0.4571463536
105	0.4568135311
106	0.4563841826
107	0.4559655559
108	0.4555506129
109	0.4551676804
110	0.454687452
111	0.4543445985
112	0.453984851
113	0.4537156381
114	0.4534622985
115	0.453302683
116	0.4528180752
117	0.4522630926
118	0.4519163573
119	0.4517001107
120	0.4514908539
121	0.4513734698
122	0.4510414206
123	0.4505762709
124	0.4500601559
125	0.4498218856
126	0.4496409545
127	0.4494402963
128	0.4492033631
129	0.4490346526
130	0.4489110202
131	0.448218218
132	0.44752936
133	0.4473012378
134	0.4471161496
135	0.4455535518
136	0.4453248251
137	0.4450736904
138	0.4449651476
139	0.4444031677
140	0.4441077651
141	0.4439830454
142	0.4437289839
143	0.4434952784
144	0.4431648202
145	0.4429522679
146	0.4426719559
147	0.442553202
148	0.4419300742
149	0.4417180077
150	0.4415205742
151	0.4413916531
152	0.4411866064
153	0.4410517236
154	0.4408943487
155	0.4406091958
156	0.4403375041
157	0.4402221467
158	0.4400290304
159	0.4396809623
160	0.4394164462
161	0.43925825
162	0.4389071953
163	0.4385616436
164	0.4383644158
165	0.4372701076
166	0.4371383366
167	0.4370269194
168	0.436859167
169	0.436745435
170	0.4365197475
171	0.4362848947
172	0.4360477684
173	0.4357939044
174	0.4356533443
175	0.4355680125
176	0.435436919
177	0.4352779117
178	0.4351281505
179	0.4349329888
180	0.4347728727
181	0.4346837641
182	0.4344742721
183	0.434363289
184	0.4340635818
185	0.4338267011
186	0.4336945462
187	0.4335345214
188	0.4334148535
189	0.4332144356
190	0.4330360721
191	0.4328067108
192	0.4326892503
193	0.4325565217
194	0.4324148956
195	0.4322223404
196	0.4320168004
197	0.4319035356
198	0.4316067293
199	0.4314034803
200	0.431277193
201	0.4312104578
