iter	Passed	Remaining
0	679	679114
1	1420	708582
2	2189	727533
3	2971	739898
4	3710	738362
5	4410	730729
6	5070	719349
7	5654	701188
8	6243	687507
9	6806	673800
10	7453	670150
11	8166	672372
12	8788	667274
13	9523	670700
14	10136	665649
15	10811	664913
16	11519	666075
17	12140	662335
18	12718	656677
19	13237	648649
20	13802	643469
21	14364	638589
22	14897	632823
23	15420	627112
24	15953	622198
25	16526	619097
26	17142	617749
27	17751	616237
28	18287	612322
29	18939	612383
30	19528	610409
31	20207	611267
32	20782	608976
33	21367	607099
34	22073	608593
35	22630	606006
36	23273	605731
37	23915	605442
38	24515	604074
39	25074	601777
40	25608	598980
41	26087	595048
42	26631	592708
43	27219	591409
44	27804	590064
45	28413	589268
46	29480	597757
47	30555	606019
48	31314	607748
49	32059	609130
50	33143	616733
51	34133	622273
52	35023	625802
53	36010	630857
54	37056	636694
55	38099	642256
56	38920	643903
57	39656	644084
58	40342	643432
59	41053	643164
60	41703	641955
61	42338	640533
62	43146	641724
63	43931	642492
64	44676	642651
65	45254	640414
66	45742	636987
67	46336	635082
68	46822	631769
69	47419	629995
70	48009	628178
71	48475	624795
72	49188	624632
73	49762	622700
74	50433	622014
75	50998	620028
76	51729	620087
77	52241	617516
78	52861	616275
79	53379	613864
80	53880	611311
81	54487	609990
82	55057	608286
83	55610	606422
84	56203	605015
85	56894	604673
86	57532	603755
87	58144	602588
88	58694	600799
89	59356	600163
90	60077	600116
91	60637	598461
92	61257	597426
93	61881	596436
94	62532	595706
95	63113	594316
96	63818	594102
97	64533	593970
98	65243	593780
99	65843	592588
100	66301	590151
101	66802	588122
102	67521	588026
103	68314	588552
104	68943	587661
105	69597	586983
106	70302	586729
107	71046	586792
108	71768	586659
109	72891	589756
110	74256	594717
111	75442	598151
112	76618	601419
113	77499	602318
114	78425	603535
115	79277	604145
116	80212	605363
117	80937	604972
118	81735	605116
119	82459	604701
120	83073	603486
121	83662	602098
122	84225	600532
123	84891	599714
124	85451	598160
125	86143	597533
126	86680	595845
127	87250	594397
128	87818	592943
129	88363	591354
130	88881	589606
131	89474	588362
132	90134	587569
133	90739	586423
134	91325	585161
135	92074	584941
136	92628	583489
137	93212	582241
138	93811	581090
139	94406	579926
140	95017	578867
141	95611	577709
142	96247	576813
143	96817	575525
144	97400	574326
145	98000	573233
146	98537	571788
147	99105	570524
148	99683	569331
149	100265	568168
150	100744	566436
151	101376	565575
152	102057	564985
153	102801	564742
154	103603	564807
155	104545	565615
156	105316	565487
157	105945	564597
158	106560	563632
159	107133	562448
160	107691	561197
161	108200	559701
162	108727	558314
163	109404	557696
164	109963	556480
165	110594	555639
166	111152	554430
167	111677	553067
168	112233	551871
169	112811	550783
170	113374	549633
171	114111	549329
172	114773	548656
173	115368	547670
174	115968	546708
175	116608	545939
176	117313	545475
177	117933	544613
178	118541	543702
179	119220	543115
180	119785	542011
181	120305	540713
182	120866	539607
183	121566	539121
184	122121	537993
185	122768	537278
186	123269	535925
187	123805	534732
188	124411	533849
189	125052	533116
190	125658	532238
191	126315	531578
192	126974	530926
193	127556	529951
194	128261	529488
195	128883	528683
196	129412	527503
197	129969	526441
198	130432	525007
199	130967	523871
200	131533	522862
201	132207	522283
